Title,Company,Location,Summary,Link,Details,Date Posted
b'DIGITAL MEDIA INTERNSHIP',b'FUTURE ARENA',"b'Possession, WA'","b'Possession of creative flair, versatility, conceptual/visual ability and originality especially for Digital related design project.'",b'http://www.indeed.com/rc/clk?jk=15a6768e4854c4b1&fccid=8a1dd8eb4bfc8fa4&vjs=3',b'Unavailable',b'30+ days ago'
b'2021 Marketing Internships',b'T-mobile',"b'Bellevue, WA 98006 (Factoria area)'",b'Recruiting for the 2021 internship program takes place from September 2020 through March 2021.\nThis is a 12-week paid learning experience with the team of\xe2\x80\xa6',b'http://www.indeed.com/rc/clk?jk=a9727512ac2f2172&fccid=d124dbfd3785b597&vjs=3',b'Unavailable',b'7 days ago'
b'2021 Summer Internships',b'Milliman',"b'Seattle, WA 98101 (Downtown area)'",b'MedInsight also offers standalone products that provide preconfigured or custom reporting and data configurations that can address specific business needs.',b'http://www.indeed.com/rc/clk?jk=063ee743df6b76e7&fccid=3d93143c99ff89a3&vjs=3',b'Unavailable',b'3 days ago'
b'Operations LGO Internship',b'Amazon.com Services LLC',"b'Seattle, WA'",b'3+ years of relevant professional or military work experience which occurred after completing your undergraduate program and prior to starting your MBA or\xe2\x80\xa6',b'http://www.indeed.com/rc/clk?jk=9114b363a83f00d6&fccid=fe2d21eef233e94a&vjs=3',b'Unavailable',b'7 days ago'
b'Summer 2021 Internship - Software Engineering',b'f5',"b'Seattle, WA'",b'We are unable to accommodate internships outside of this time frame.\nAvailable for a 12 week internship between May and September of 2021.',b'http://www.indeed.com/rc/clk?jk=b1fe36c95b2b7ed9&fccid=9b3ae8c6fdf5bade&vjs=3',b'Unavailable',b'30+ days ago'
s application, you will answer questions and upload a cover letter, resume and unofficial transcript.complete the very short ISB Careers Page High School Internship Application - Find this by clicking the ""Start Your Application"" button below.have your recommender directly send their letter to Systems Education Experiences (SEE) at see@isbscience.org or 401 Terry Avenue N., Seattle, WA 98109. Please verify with your recommender that they have sent their letter and include their name and email address in the Google form when prompted.Tips to help you prepare and complete your application: First complete your prep work and get your documents together:Complete your resume and obtain your unofficial transcript. You will upload each of these files into the google form when prompted.Request a letter of recommendation from a teacher, coach, supervisor, or other mentor and ask them to have your recommender directly send their letter to Systems Education Experiences (SEE) at see@isbscience.org or 401 Terry Avenue N., Seattle, WA 98109.Spend time preparing your cover letter. In your cover letter, please address the prompts below. You can use any order you\xe2\x80\x99d like to answer the prompts. We will use this information as our first way of getting to know you and hopefully to match you with mentors and peers either during this application cycle and/or a future cycle. All information shared will be kept confidential. Question prompts to address in your cover letter:Please describe 1) your career goals, 2) why you are interested in scientific research, 3) what interests you most about ISB\xe2\x80\x99s scientific projects AND our SEE curriculum-related projects, and 4) why you are hoping to work at or with ISB specifically.Please describe what specifically is most interesting for you within this summer\xe2\x80\x99s opportunities and/or topics. Please also list any specific educational benefit you are hoping to receive and/or requirements of your educational organization (for example: complete a paper, work 60 hours on a specific project, complete an assignment).This is an optional question/prompt \xe2\x80\x93 you are not required to answer any or all of this prompt. Answering or not answering this question will NOT hinder you from moving forward in the application process. We simply want to understand your narrative and learn more about you. We value this information if you choose to share it and will keep it confidential. We seek to provide opportunities for students who do not generally have a chance to do real science. We also want to ensure that you have every opportunity to succeed. Therefore this information will help us design internship teams and activities that enable success for all. Feel free to describe your background so we can learn more about you as a person. For instance, do you identify as a member of a disadvantaged, marginalized, historically excluded, or traditional underrepresented group? Do you have a diagnosed disability or are there some accommodations that we could provide that would help you do best in this program? What is the highest level of education attained by a parent or guardian? What is the highest level of education you hope to attain? If you would like to share information pertinent to your application that was not covered in another question, please do so within your cover letter.You can log in multiple times prior to the deadline to update your application and submit associated files (your resume and transcript and any other materials you would like to share). Only your final, complete application will be reviewed.Online applications are strongly encouraged. However, if you are unable to complete the online application process, please email our team at see@isbscience.org for a paper application. You will then be able to submit all hard copy documents to: Human Resources, High School Internship Application, Institute for Systems Biology, 401 Terry Avenue N, Seattle, WA 98109.Any questions can be directed to Systems Education Experiences (see@isbscience.org, or to Rachel Calder at 206-732-1369).Job Type: Full-timePay: $16.69 per hour'",b'20 days ago'
b'Microsoft Legal Internship',b'Microsoft',"b'Redmond, WA 98052 (Overlake area)'","b'As a Legal Intern at Microsoft, you will work within our Corporate, External & Legal Affairs department in Redmond, Washington.'",b'http://www.indeed.com/rc/clk?jk=07f5cc4aded80ed5&fccid=734cb5a01ee60f80&vjs=3',"b""Microsoft is going through a transformational change to become the leading Cloud first, Mobile first company. Microsoft aspires to help our customers achieve their own digital transformation. Every day, we work to help our customers leverage the power of Microsoft\xe2\x80\x99s solutions and services, to support our mission to empower every person and every organization on the planet to achieve more.\nMicrosoft\xe2\x80\x99s legal team champions our company's integrity and works to earn and maintain public trust. As an attorney, government affairs specialist or legal business professional, you will find the best of both worlds here: we have the quality-of-life advantages of in-house counsel paired with a stimulating work environment that spans litigation, intellectual property, transactions, licensing, and global migration. Get ready to overcome challenges, forge solutions and provide direct counsel to the cutting edge of the world\xe2\x80\x99s most dynamic industry.\nResponsibilities\nAs a Legal Intern at Microsoft, you will work within our Corporate, External & Legal Affairs department in Redmond, Washington. You will have a broad range of responsibilities from across the department, which may include researching legal issues impacting business strategy, drafting transactional documents, attending client meetings and product reviews, and collaborating with internal teams on cross-group projects.\nQualifications\nQualifications:\nApplicants must be first-year law students in good standing for the degree of J.D. from an ABA accredited law school.\nExcellent analytical ability and legal drafting skills.\nExcellent oral and written communications skills and the ability to communicate effectively across a large number of diverse internal groups, teams and divisions.\nA demonstrated ability to work efficiently, meet deadlines, and manage multi-dimensional projects in a fast-paced environment.\nAbility to research and learn new concepts and legal issues quickly to facilitate problem solving.\nMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.\n\nBenefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.""",b'28 days ago'
b'Global Health Security Internship',b'PATH',"b'Seattle, WA'","b'Through this internship, the selected candidate(s) will provide coordination and communications support to the GHS Initiative.\nFamiliarity with French a plus.'",b'http://www.indeed.com/rc/clk?jk=d54c9212bc68db72&fccid=88e380af575ae18a&vjs=3',"b""The Global Health Security team is seeking two virtual interns to support the US-based teams in Seattle, WA and Washington, D.C.\n\nPlease submit cover letter and writing sample with application\n\n\nPATH is a global organization that works to accelerate health equity by bringing together public institutions, businesses, social enterprises, and investors to solve the world\xe2\x80\x99s most pressing health challenges. With expertise in science, health, economics, technology, advocacy, and dozens of other specialties, PATH develops and scales solutions\xe2\x80\x94including vaccines, drugs, devices, diagnostics, and innovative approaches to strengthening health systems worldwide\n\n\nPATH\xe2\x80\x99s Global Health Security team leads several projects and initiatives that serve the Global Health Security Agenda (GHSA) and aim to strengthen global capacity to prevent, detect, and respond to infectious disease threats. These include the five-year, Centers for Disease Control (CDC)-funded Global Health Security projects; the USAID Infectious Disease Detection and Surveillance (IDDS) project; and several Fleming Fund projects aimed at combatting and preventing the spread of antimicrobial resistance. The Global Health Security team is seeking two virtual interns to support the US-based teams in Seattle, WA and Washington, D.C. The Seattle based intern will support the CDC Global Health Security and Fleming Fund projects and the D.C. based intern will support the IDDS project.\n\n\nThrough this internship, the selected candidate(s) will provide coordination and communications support to the GHS Initiative. Activities will include supporting document and knowledge management, updating project management tools and trackers, developing PowerPoint presentations, editing communications materials, and providing status updates of project deliverables to the team. The intern will be expected to support and facilitate efficient and clear communication across global teams of experts and provide support to new and ongoing projects. The intern may have the opportunity to widen this scope subject to project activities and personal interests.\n\n\nResponsibilities:\n\nThe intern will be involved in hands-on work related to project coordination and communications.\nThe intern will build ability to multi-task and work professionally with various colleagues and mentors within PATH, developing project coordination, management, and organizational skills.\nThe intern will deepen their knowledge and understanding of the fundamentals of public health, surveillance, and epidemiology.\nThe intern will gain and utilize experience in proposal writing and report preparation.\nSupport project coordination and management.\nUpdate capacity statements and other communications materials.\nAssist in the coordination of business development opportunities and external affairs, as needed.\nAssist the Senior Program Assistant with developing and refining donor project reports.\nParticipate in regular project calls with country offices.\nAssist in finalizing project deliverables including editorial reviews.\n\nRequired Skills\n\nRequired Experience\n\nCurrent student enrolled in an accredited university.\nStrong project coordination and management skills, with excellent organizational skills and a high level of attention to detail.\nExcellent written and oral communication skills.\nKnowledge of and interest in global health, international development, and project management.\nKnowledge of Microsoft Office software, including Excel, Outlook, and OneNote.\nAbility to adapt within a fast-paced environment.\nInternational work or study experience a plus.\nFamiliarity with French a plus.\n\nPATH does not provide a stipend to interns who are California residents.\nAll PATH internships are eligible for school credit. Please refer to your university's process for credit eligibility.\n\nMust have legal authorization to work in the United States.\n\n\nPATH is dedicated to diversity and is an equal opportunity employer.\n\n\nPATH is an equal opportunity employer. Every qualified applicant will be considered for employment. PATH does not discriminate based on race, color, religion, gender, gender identity or orientation, genetic information, age, national origin, marital status, disability status, political ideology, military or protected veteran status, or any other characteristic protected by applicable federal, state, or local law.\n\n\n*PATH has become aware of scams involving false job offers.*\n\n\nPlease advise:\n\n\n PATH will never ask for a fee during any stage of the recruitment process.\n\n\nAll active jobs are advertised directly on our career's page.\nOfficial PATH emails will always arrive from an @path.org or @silkroad.com email address.\n\n\nPlease report any suspicious communications to careersitehelp@path.org""",b'3 days ago'
b'PR Assistant Intern',b'Amazon.com Services LLC',"b'Seattle, WA'",b'Amazon\xe2\x80\x99s Worldwide Communications (WWC) team invites undergraduate professionals to join us for a paid 10-12-week full-time internship in 2021 (virtual or\xe2\x80\xa6',b'http://www.indeed.com/rc/clk?jk=417a60c27d03c787&fccid=fe2d21eef233e94a&vjs=3',"b'Currently enrolled in a BA/BS degree program.\nGraduating between December 2021 to August 2023\nPrevious work, internship, and/or other leadership experience in a professional/academic environment in communication(s), public relations, and/or writing.\n\nCome build the future with us.\n\nAmazon\xe2\x80\x99s Worldwide Communications (WWC) team invites undergraduate professionals to join us for a paid 10-12-week full-time internship in 2021 (virtual or location-based). We\xe2\x80\x99re looking for current sophomore and junior students who possess an interest in writing, communications, and social media. We invite candidates to apply who are curious and excited to learn more about what it\xe2\x80\x99s like to work at Amazon.\n\nThroughout the summer, you will work across our communications organization, learning the ins-and-outs of public relations, refining your writing skills, learning from Amazon leaders, and working with a mentor. You will also offer your own insight into how Amazon should think about communicating, all while applying innovative and global thinking. You will spend time with teams from our social media, Amazon Studios, Corporate, Devices, and/or Retail divisions, attending events (even if virtual), diving into their innovative products and services, and working on their communications approaches. The internship will culminate in a summer-long project that you\xe2\x80\x99ll present to WWC leaders.\n\nSuccessful candidates will bring diverse perspectives and varied experiences (whether from school, life, or past jobs). We value peculiarity and curiosity (see our Leadership Principles), and hope you\xe2\x80\x99re interested in joining us.\n\nAbout Worldwide Communications\nAmazon\xe2\x80\x99s WWC is comprised of hundreds of communications professionals, based globally. We are responsible for better informing customers, media, employees, and policymakers about Amazon\xe2\x80\x99s unique culture of innovation and customer centricity, cutting-edge products and services, workplace and employee programs, environmental and sustainability initiatives, and more. WWC aims to continuously strengthen Amazon\xe2\x80\x99s reputation and trust with customers by educating the world about Amazon\xe2\x80\x99s products and services, and how we support employees, small businesses, partners, content creators, developers, the economy, the environment, and communities where we operate.\n\n\nHighly effective oral, written, and interpersonal communication skills with demonstrated ability to effectively and comfortably interact with colleagues of diverse backgrounds and varying levels of seniority.\nExcellent written and verbal communication skills and ability to create and effectively deliver factual, relevant, and clear messaging, research, etc.\nMotivated self-starter who can work well autonomously.\n\nAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.\n\nPursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.\n\nPursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.'",b'20 days ago'
b'Summer Undergraduate Intern',b'Institute for Systems Biology',"b'Seattle, WA 98109 (Westlake area)'","b'Must currently be a full-time student at an accredited college or university in the United States (To be eligible, graduating seniors must demonstrate they have\xe2\x80\xa6'",b'http://www.indeed.com/company/Institute-for-Systems-Biology/jobs/Summer-Undergraduate-Intern-de08dffe4541f24d?fccid=46a724aeba6996aa&vjs=3',"b'ISB Summer UndergraduateResearch Experiences ProgramThe ISB Summer Undergraduate Research Experiences Program offers undergraduates with a diversity of backgrounds, career goals and experiences the opportunity to experience research side by side with experts in systems biology.ISB is an internationally renowned non-profit research institute dedicated to the study and application of systems biology. Founded in 2000 in Seattle, Washington, ISB\xc2\xb4s goal is to unravel biological complexity by deciphering vast amounts of data in order to gain valuable insights and achieve breakthroughs across scientific disciplines.To support learning, student interns will:Be paired with a mentor based on their interests. Students with a demonstrated interest in fields such as biology, chemistry, computer science, information science, applied mathematics, and/or engineering are all good fits for the types of research projects available.Participate in a research project developed by the student intern\xe2\x80\x99s mentorBe included in all events at ISB, including lab meetings and retreatsParticipate in ongoing professional development including attendance at workshops, seminars, & team tasksComplete a poster with the support of their mentor and other ISB staff to be shared at an ISB-wide mini-symposiumBe included (where applicable) on the development of publications that result from their research projectLogistics of research experiences at ISB:The program selects a broad range of students, from current freshmen through to seniors with a diversity of backgrounds, career goals and experiencesStudent interns will work 30-40 hours per weekDependent upon project and pandemic regulations, participants may be full or part time at the ISB facility in Seattle or be asked to work remotelyStudent interns with financial need, will receive financial assistanceStudents interns will be at ISB for 10 consecutive weeks that must include the seven week period between June 21, 2021 to August 6, 2021.ISB does not provide housing but students qualify for summer intern housing at UWRequirements:Must be authorized to work in the USMust currently be a full-time student at an accredited college or university in the United States (To be eligible, graduating seniors must demonstrate they have been accepted to graduate school immediately following their internship at ISB)Must have a current minimum GPA of 3.0A completed applicationISB Careers page application (click ""Start Your Application"" below).Google Form application (a sample of the Google Form application is available here to help to prepare your responses).Only online applications will be consideredTimelineJanuary 15 - Application process opens.February 22 - Application process closes at 5 pm PST.January 31-March 29 - Phone interviews and informal offersWeek of April 5 - Formal offer letters sent to selected applicantsPlease direct questions to Jen Eklund, jen.eklund@isbscience.org with Summer Undergraduate Research Experiences question in the subject line.Job Types: Full-time, Part-time'",b'21 days ago'
b'Intern-Cancer Biology',b'Fred Hutchinson Cancer Research Center',"b'Seattle, WA 98109 (South Lake Union area)'",b'This position will work with members of the laboratory of Dr.\nTaran Gujral in the Division of Human Biology to embark on an exciting journey to tackle two of\xe2\x80\xa6',b'http://www.indeed.com/company/Fred-Hutchinson-Cancer-Research-Center/jobs/Intern-Cancer-Biology-2715a1047037f84e?fccid=a513e92edbf529af&vjs=3',"b""The Gujral lab at the Fred Hutchinson Cancer Research Center has an opening for Volunteer internship that would be perfect for a senior student in biological sciences. This position will work with members of the laboratory of Dr. Taran Gujral in the Division of Human Biology to embark on an exciting journey to tackle two of the most burning issues in cancer treatment, metastasis and drug resistance, through an approach which combines cutting edge high-throughput methods and focused biology studies in cell lines and various mouse models. Students will gain hands-on experience in using state-of-the art technologies in proteomics and genomics.Position would begin with 2-week trial period where the student will complete lab tasks to ensure an adequate time commitment is feasible and a copacetic atmosphere is maintained. If everything works out, there will be a training period (varies dependent on individual) before moving on to your own project. Projects could vary from tumor micro-environment to immuno-oncology to tumor metabolism and drug resistance. A student could participate in many of the aspects of the work in the lab and would be expected to learn how to develop a research question, design experiments to answer the question, perform experiments, interpret the results and design additional experiments based on the results. Depending on their specific interests, the student could learn about different cancer models including PDX, orthotopic, chemical-induced and xenograft, and many other current methodologies such as reverse phase lysate microarrays, high throughput live cell microscopy-based assays, immunofluorescence microscopy, western blot analysis, RNAseq, quantitative PCR and use of various data analysis software. In addition, students will also have the opportunity to present their research during lab meetings and scientific conferences and to write, submit, and publish scientific papers. Expected time commitment of 10-20 hrs/week for at least one semester. Undergrad credit for research is a possibility. Prior lab experience in biological sciences is preferred. The intern will report directly to Dr. Gujral but is expected to integrate and function as team member at Gujral lab and Human Biology.Should you have interest to join us to discover new targets and develop new drugs to find solutions for cancer metastasis and drug resistance, please send resume or C.V to tgujral AT fredhutch.orgJob Types: Part-time, InternshipSchedule:Monday to FridayEducation:High school or equivalent (Preferred)Work Location:One locationThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environmentThis Company Describes Its Culture as:Innovative -- innovative and risk-takingDetail-oriented -- quality and precision-focusedCompany's website:https://research.fredhutch.org/gujral/en.htmlWork Remotely:No""",b'28 days ago'
b'Infrastructure Project Management Intern',b'REI',"b'Seattle, WA'",b'The Project Manager Intern work closely with cross functional teams to ensure successful delivery of portfolio work.\nRetail IT environments and systems.',b'http://www.indeed.com/rc/clk?jk=f2d155902d9920f9&fccid=b0157d60f7e532f6&vjs=3',"b""We are looking for a Project Management Intern to contribute to REI's success by managing aspects of one or more of our infrastructure portfolio initiatives. This includes planning, scheduling, coordinating activities and dependencies across various teams along with providing communication and visibility on progress and potential blockers. The Project Manager Intern work closely with cross functional teams to ensure successful delivery of portfolio work.\nThroughout the course of your internship experience, you will work alongside supportive team members who will help you elevate and grow in a fun, high-energy environment. We view the intern role as an equal opportunity to learn from the intern we will bring on. We know you will have great ideas and we want to give you a platform to share and apply those ideas.\n\nExamples of our Intern projects may include:\nREI Store build outs\nWhat does it take to get an REI store opened? Be part of our New Store Program team and learn what it takes to stand up all the technologies to support and run and REI store. Aside from IT teams, you will work with multiple non-IT groups such as Construction, Fixtures, Retail Operations, Procurement and more.\nDevice Lifecycle management\nLearn about supply chains and end to end management of keeping business environments maintained with relevant hardware. Work with various IT groups and Retail Operations to plan, procure and refresh end of life equipment in our retail stores.\nProcess improvement\nLean, Six Sigma, TQM or other methodologies can be used to improve aspects of various delivery lifecycles and processes used to get work done. Bring an execution improvement mindset and make a lasting positive impact on the Co-op and environment.\n\nREI Introduction and Exposure to:\nRetail IT environments and systems\nInfrastructure required to keep businesses going\nChallenging project assignments\nProject and process management activities\nCross-divisional intern activities\nMentorship\n\nBring your passion and expertise\n\nJob functions include:\n\nProject planning, facilitation, communication, and leading efforts\nCollaborating across teams and stakeholders\nContinuous improvement mindset and recommendations for process improvements\nQualifications and expectations:\nCurrently majoring in CS or CSE undergrad\nCoursework completed in some following areas: CS Principals, Software Engineering, Project Management, Information Systems, Vendor Management\nCandidates should have a strong aptitude in analytics, teamwork and problem solving\n\n#LI-JM1""",b'15 days ago'
b'Social Media Assistant',b'Digital Influence Talent and Casting',"b'Seattle, WA'","b'Some modeling experience or a strong social presence.\nAble to use popular social media platforms.\nExcellent reading, writing and communications.'",b'http://www.indeed.com/company/Digital-Influence-Talent-and-Casting/jobs/Social-Media-Assistant-ba6671bd41368a0f?fccid=9bb5c7ca695c83ef&vjs=3',"b""Talent/Casting Company, DigitalInfluence.tv seeking Influencers/Brand Ambassadors with a strong knowledge of Social Media and a Large Following to promote the brand online. TO APPLY:  https://digitalinfluence.tv/free-gigs/dicastingResponsibilities:Upload Quality Photos/VideosPromote the brand online/virtuallyExperience:Some modeling experience or a strong social presenceAble to use popular social media platformsExcellent reading, writing and communicationsCreativity and Innovative IdeasAbility to use Microsoft OfficeAbility to work remote/from homeNice to Haves:Ability to edit photos/video using Adobe Photoshop or PremierUses Tik TokTO APPLY:  https://digitalinfluence.tv/free-gigs/dicastingJob Types: Full-time, Part-time, Contract, Temporary, InternshipPay: $25.00 - $35.00 per hourSupplemental Pay:Bonus payCommission payCOVID-19 considerations:Remote WorkingWork Location:Multiple locationsFully RemoteThis Job Is Ideal for Someone Who Is:Innovative -- prefers working in unconventional ways or on tasks that require creativityThis Company Describes Its Culture as:Innovative -- innovative and risk-takingPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeCompany's website:https://digitalinfluence.tv/Company's Facebook page:Facebook.com/ownyourinfluenceCOVID-19 Precaution(s):Remote interview processVirtual meetings""",b'7 days ago'
b'Service Desk Intern',b'REI',"b'Seattle, WA'","b'Provide technical support to end users through phone, email or chat.\nUtilize your interpersonal and customer service skills to create positive experiences.'",b'http://www.indeed.com/rc/clk?jk=ee36894ce92bda17&fccid=b0157d60f7e532f6&vjs=3',"b'REI is looking for a Service Desk Intern to contribute to REI\xe2\x80\x99s success by working as part of an end user support team. Throughout the course of your internship experience, you will learn about REI technologies while empowering end users. Under the supervision of your Manager, and as a key member of the End User and Shared Services department, you will gain insights into the key functions of your team as it relates to REI\xe2\x80\x99s broader strategy and vision.\nPotential activities of the Service Desk Intern:\nProvide technical support to end users through phone, email or chat\nLearn about the various enterprise tools used at REI\nUtilize your interpersonal and customer service skills to create positive experiences\nConfigure & Deploy new hardware and software\nLearn how computers are configured and software installed\nDelight an REI employee with new technology\nEmpower end users to easily access needed information\nDocument solutions and publish as knowledge articles and frequently asked questions regarding how to resolve common technical solutions\nCollaborate with IT engineers\nShadow IT engineering departments to learn more about their work\nREI Introduction and Exposure to:\nSeattle Area\nChallenging and relevant activities\nREI retail stores and market competition\nLeadership team members\nCross-divisional intern activities\nMentorship\n\nBring your passion and expertise\nJob functions include:\nSupport end user technologies\nManage technical assets\nCreate and edit knowledge articles\nRecommendation for changes, if applicable\nQualifications and expectations:\nCurrently majoring in Information Technologies / Computer Science\nCoursework completed in some or all of the following areas: Microsoft Windows, Microsoft Office, Security, Networking, Computing, Cloud\nCandidates should have a strong customer service skills and technical aptitude\nAccess to consistent and reliable high-speed home internet service\n#LI-JM1'",b'15 days ago'
